,name,duration,start_rec_s,start_sound_s,end_sound_s,fin_rec_ms,sound_lag,end_sound_lag,dur_whole,sound_to_fin
17,sine_bass_1588024724934_trial_18.csv,2.0287,1588024718.9199848,1588024720.930559,1588024722.959259,1588024724934,2.0105741024017334,4.039274102401734,6.014015197753906,4.003441095352173
18,sine_bass_1588024737230_trial_19.csv,2.0287,1588024731.211401,1588024733.221998,1588024735.250698,1588024737230,2.010596990585327,4.039296990585328,6.018599033355713,4.008002042770386
19,sine_bass_1588024750616_trial_20.csv,2.0287,1588024744.596999,1588024746.60924,1588024748.6379402,1588024750616,2.0122411251068115,4.040941125106812,6.019001007080078,4.006759881973267
20,sine_bass_1588024769700_trial_21.csv,2.0287,1588024763.666929,1588024765.6782029,1588024767.706903,1588024769700,2.0112738609313965,4.039973860931397,6.033071041107178,4.021797180175781
21,sine_bass_1588024781602_trial_22.csv,2.0287,1588024775.585599,1588024777.594741,1588024779.6234412,1588024781602,2.0091421604156494,4.03784216041565,6.016401052474976,4.007258892059326
22,sine_bass_1588024793898_trial_23.csv,2.0287,1588024787.877208,1588024789.888712,1588024791.917412,1588024793898,2.0115039348602295,4.04020393486023,6.020792007446289,4.00928807258606
23,sine_bass_1588024810107_trial_24.csv,2.0287,1588024804.0849228,1588024806.097238,1588024808.1259382,1588024810107,2.012315273284912,4.041015273284913,6.022077322006226,4.0097620487213135
24,sine_bass_1588024833540_trial_25.csv,2.0287,1588024827.487486,1588024829.50403,1588024831.53273,1588024833540,2.0165441036224365,4.045244103622437,6.05251407623291,4.035969972610474
25,sine_bass_1588024848038_trial_26.csv,2.0287,1588024842.02368,1588024844.0334148,1588024846.062115,1588024848038,2.009734869003296,4.0384348690032965,6.014320135116577,4.004585266113281
26,sine_bass_1588024865548_trial_27.csv,2.0287,1588024859.5095732,1588024861.521159,1588024863.549859,1588024865548,2.0115857124328613,4.040285712432862,6.038426876068115,4.026841163635254
27,sine_bass_1588024882128_trial_28.csv,2.0287,1588024876.1137972,1588024878.125752,1588024880.154452,1588024882128,2.0119547843933105,4.040654784393311,6.014202833175659,4.002248048782349
28,sine_bass_1588024895722_trial_29.csv,2.0287,1588024889.70561,1588024891.71774,1588024893.7464402,1588024895722,2.01213002204895,4.040830022048951,6.016389846801758,4.004259824752808
29,sine_bass_1588024911089_trial_30.csv,2.0287,1588024905.070591,1588024907.08235,1588024909.1110501,1588024911089,2.011759042739868,4.040459042739869,6.018409013748169,4.006649971008301
30,sine_bass_1588024935109_trial_31.csv,2.0287,1588024929.058041,1588024931.0693219,1588024933.098022,1588024935109,2.0112807750701904,4.039980775070191,6.050958871841431,4.03967809677124
31,sine_bass_1588024952172_trial_32.csv,2.0287,1588024946.131212,1588024948.142003,1588024950.1707032,1588024952172,2.010791063308716,4.039491063308716,6.040787935256958,4.029996871948242
32,sine_bass_1588024969079_trial_33.csv,2.0287,1588024963.062594,1588024965.0725682,1588024967.1012683,1588024969079,2.009974241256714,4.0386742412567145,6.016406059265137,4.006431818008423
33,sine_bass_1588024986961_trial_34.csv,2.0287,1588024980.928065,1588024982.93748,1588024984.96618,1588024986961,2.0094149112701416,4.038114911270142,6.032934904098511,4.023519992828369
34,sine_bass_1588025002358_trial_35.csv,2.0287,1588024996.3416939,1588024998.3536892,1588025000.3823893,1588025002358,2.011995315551758,4.040695315551758,6.016306161880493,4.004310846328735
35,sine_bass_1588025017948_trial_36.csv,2.0287,1588025011.912399,1588025013.9235919,1588025015.952292,1588025017948,2.011192798614502,4.039892798614503,6.035600900650024,4.0244081020355225
36,sine_bass_1588025032562_trial_37.csv,2.0287,1588025026.547327,1588025028.556658,1588025030.5853581,1588025032562,2.009330987930298,4.0380309879302985,6.0146729946136475,4.00534200668335
37,sine_bass_1588025046686_trial_38.csv,2.0287,1588025040.669424,1588025042.678984,1588025044.707684,1588025046686,2.0095598697662354,4.038259869766236,6.016576051712036,4.007016181945801
38,sine_bass_1588025076452_trial_39.csv,2.0287,1588025070.404667,1588025072.4157271,1588025074.4444273,1588025076452,2.0110602378845215,4.039760237884522,6.047333002090454,4.036272764205933
39,sine_bass_1588025092741_trial_40.csv,2.0287,1588025086.7261262,1588025088.734724,1588025090.7634242,1588025092741,2.0085978507995605,4.037297850799561,6.014873743057251,4.00627589225769
40,sine_bass_1588025106542_trial_41.csv,2.0287,1588025100.529734,1588025102.54053,1588025104.56923,1588025106542,2.010796070098877,4.039496070098878,6.012266159057617,4.00147008895874
41,sine_bass_1588025122369_trial_42.csv,2.0287,1588025116.351818,1588025118.3631868,1588025120.391887,1588025122369,2.011368751525879,4.0400687515258795,6.017181873321533,4.005813121795654
42,sine_bass_1588025138357_trial_43.csv,2.0287,1588025132.342348,1588025134.351201,1588025136.3799012,1588025138357,2.008852958679199,4.0375529586792,6.0146520137786865,4.005799055099487
43,sine_bass_1588025156736_trial_44.csv,2.0287,1588025150.683275,1588025152.695429,1588025154.7241292,1588025156736,2.0121541023254395,4.04085410232544,6.052725076675415,4.040570974349976
44,sine_bass_1588025171920_trial_45.csv,2.0287,1588025165.904219,1588025167.9145548,1588025169.943255,1588025171920,2.010335922241211,4.0390359222412116,6.0157811641693115,4.005445241928101
45,sine_bass_1588025186849_trial_46.csv,2.0287,1588025180.836781,1588025182.848865,1588025184.8775651,1588025186849,2.0120840072631836,4.040784007263184,6.012218952178955,4.0001349449157715
46,sine_bass_1588025200845_trial_47.csv,2.0287,1588025194.828209,1588025196.839318,1588025198.8680182,1588025200845,2.0111091136932373,4.039809113693238,6.016791105270386,4.005681991577148
47,sine_bass_1588025215785_trial_48.csv,2.0287,1588025209.769492,1588025211.7808058,1588025213.809506,1588025215785,2.0113139152526855,4.040013915252686,6.01550817489624,4.004194259643555
48,sine_bass_1588025231110_trial_49.csv,2.0287,1588025225.0957608,1588025227.1075358,1588025229.136236,1588025231110,2.011775016784668,4.040475016784669,6.014239072799683,4.002464056015015
49,sine_bass_1588025246784_trial_50.csv,2.0287,1588025240.767699,1588025242.7764108,1588025244.805111,1588025246784,2.008711814880371,4.037411814880372,6.016300916671753,4.007589101791382
50,sine_bass_1588025262049_trial_51.csv,2.0287,1588025256.036833,1588025258.048139,1588025260.0768392,1588025262049,2.011306047439575,4.040006047439576,6.012166976928711,4.000860929489136
