,0,1,2,3
52,-21.97265625,-27.83203125,-28.3203125,-12.6953125
53,-19.53125,-26.3671875,-30.2734375,-26.3671875
54,-22.4609375,-29.296875,-31.25,-33.203125
55,-28.3203125,-27.83203125,-33.69140625,-29.78515625
56,-25.87890625,-21.97265625,-25.87890625,-17.08984375
57,-22.4609375,-25.87890625,-17.578125,-5.37109375
58,-26.3671875,-29.78515625,-18.5546875,-10.25390625
59,-31.25,-28.80859375,-23.92578125,-26.85546875
60,-34.1796875,-31.73828125,-29.78515625,-31.73828125
61,-36.62109375,-31.73828125,-29.296875,-32.2265625
62,-29.78515625,-24.90234375,-26.3671875,-22.4609375
63,-23.92578125,-22.4609375,-28.3203125,-19.04296875
64,-25.390625,-21.484375,-25.87890625,-34.66796875
65,-33.69140625,-20.99609375,-26.3671875,-40.0390625
66,-41.50390625,-25.390625,-27.34375,-34.1796875
67,-37.59765625,-28.80859375,-23.4375,-25.390625
68,-30.76171875,-30.2734375,-24.4140625,-27.34375
69,-31.25,-30.76171875,-24.4140625,-35.15625
70,-40.52734375,-28.80859375,-27.34375,-41.50390625
71,-46.38671875,-34.1796875,-27.34375,-36.1328125
72,-47.8515625,-37.109375,-27.83203125,-31.25
73,-36.1328125,-31.73828125,-29.78515625,-26.85546875
74,-29.78515625,-29.78515625,-30.2734375,-30.76171875
75,-34.66796875,-27.83203125,-31.25,-46.875
76,-32.2265625,-26.3671875,-29.296875,-38.0859375
77,-29.296875,-27.83203125,-31.73828125,-23.92578125
78,-25.390625,-26.85546875,-31.73828125,-20.99609375
79,-23.92578125,-24.4140625,-28.80859375,-26.85546875
80,-32.2265625,-27.83203125,-28.80859375,-41.50390625
81,-41.9921875,-33.69140625,-27.83203125,-39.55078125
82,-35.15625,-30.76171875,-25.87890625,-17.578125
83,-29.78515625,-24.4140625,-27.83203125,-13.18359375
84,-28.3203125,-24.4140625,-30.2734375,-30.76171875
85,-26.3671875,-28.3203125,-31.73828125,-39.0625
86,-30.76171875,-28.80859375,-29.296875,-27.34375
87,-35.15625,-26.85546875,-27.34375,-17.578125
88,-27.34375,-26.85546875,-23.4375,-9.27734375
89,-27.83203125,-27.83203125,-18.06640625,-21.484375
90,-39.55078125,-32.2265625,-21.484375,-46.38671875
91,-39.55078125,-29.78515625,-24.4140625,-43.45703125
92,-41.015625,-24.90234375,-23.92578125,-24.90234375
